Code postal,Commune,Type local,Prix m2
01400,SULIGNAT,Maison,1851.851851851852
01410,CHAMPFROMIER,Appartement,2205.8823529411766
01410,CHAMPFROMIER,Maison,2169.396551724138
01410,CHEZERY-FORENS,Maison,3533.333333333333
01410,LELEX,Appartement,2083.691646191646
01410,LELEX,Maison,1017.8571428571428
01410,MIJOUX,Appartement,2112.9166666666665
01410,MIJOUX,Maison,1922.8174603174602
01420,CHANAY,Appartement,2166.6666666666665
01420,CHANAY,Maison,2273.2558139534885
01420,CORBONOD,Appartement,1790.6976744186047
01420,CORBONOD,Maison,2557.692307692308
01420,SEYSSEL,Appartement,1791.4893617021276
01420,SEYSSEL,Maison,1835.2822966507179
01430,CEIGNES,Maison,995.2830188679244
01430,CONDAMINE-LA-DOYE,Maison,1656.6265060240964
01430,IZENAVE,Maison,1685.2112676056338
01430,LANTENAY,Maison,1473.6842105263158
01430,MAILLAT,Maison,1333.3333333333333
01430,ST-MARTIN-DU-FRESNE,Maison,2022.47191011236
01440,VIRIAT,Appartement,2232.0596458527493
01440,VIRIAT,Maison,2310.576923076923
01450,CERDON,Maison,1462.5
01450,CHALLES-LA-MONTAGNE,Maison,1758.6206896551726
01450,LABALME,Appartement,1666.6666666666667
01450,LABALME,Maison,1290.0923050379572
01450,LEYSSARD,Maison,2100.0
01450,MERIGNAT,Maison,1034.4827586206898
01450,PONCIN,Maison,1553.856888888889
01450,SAINT-ALBAN,Maison,1511.8055555555554
01450,SERRIERES-SUR-AIN,Maison,3130.5163329820866
01460,BEARD-GEOVREISSIAT,Maison,1621.9512195121952
01460,BRION,Appartement,2332.450704225352
01460,BRION,Maison,1877.1370967741937
01460,MONTREAL LA CLUSE,Appartement,1912.4781144781145
01460,MONTREAL LA CLUSE,Maison,2034.7571428571428
01460,NURIEUX-VOLOGNAT,Maison,1695.8874458874457
01470,BENONCES,Appartement,2361.7021276595747
01470,BENONCES,Maison,1500.0
01470,BRIORD,Maison,1791.6666666666667
01470,MONTAGNIEU,Maison,1415.028209109731
01470,SERRIERES-DE-BRIORD,Maison,2078.0733944954127
01480,ARS-SUR-FORMANS,Maison,1836.9927536231885
01480,BEAUREGARD,Appartement,2004.9656226126815
01480,BEAUREGARD,Maison,1991.6666666666667
01480,CHALEINS,Maison,2369.512195121951
01480,FAREINS,Maison,2558.9156314699794
01480,FRANS,Appartement,2463.3841940532084
01480,FRANS,Maison,2926.4005602240895
