Commune;Classement
CHATEAU-D'OLONNE;Mer
L'EPINE;Mer
LE FENOUILLER;Mer
GRUES;Mer
LA GUERINIERE;Mer
L'ILE-D'YEU;Mer
JARD-SUR-MER;Mer
LONGEVILLE-SUR-MER;Mer
NOIRMOUTIER-EN-L'ILE;Mer
NOTRE-DAME-DE-MONTS;Mer
OLONNE-SUR-MER;Mer
PUYRAVAULT;Mer
LES SABLES-D'OLONNE;Mer
SAINT-GILLES-CROIX-DE-VIE;Mer
SAINT-HILAIRE-DE-RIEZ;Mer
SAINT-JEAN-DE-MONTS;Mer
SAINT-MICHEL-EN-L'HERM;Mer
SAINTE-RADEGONDE-DES-NOYERS;Mer
SAINT-VINCENT-SUR-JARD;Mer
TALMONT-SAINT-HILAIRE;Mer
LA TRANCHE-SUR-MER;Mer
TRIAIZE;Mer
LA FAUTE-SUR-MER;Mer
LES SABLES-D'OLONNE ;Mer
LES ABYMES;Mer
ANSE-BERTRAND;Mer
BAIE-MAHAULT;Mer
BAILLIF;Mer
BASSE-TERRE;Mer
BOUILLANTE;Mer
CAPESTERRE-BELLE-EAU;Mer
CAPESTERRE-DE-MARIE-GALANTE;Mer
GOURBEYRE;Mer
LA DESIRADE;Mer
DESHAIES;Mer
GRAND-BOURG;Mer
LE GOSIER;Mer
GOYAVE;Mer
LAMENTIN;Mer
MORNE-A-L'EAU;Mer
LE MOULE;Mer
PETIT-BOURG;Mer
PETIT-CANAL;Mer
POINTE-A-PITRE;Mer
